,Airline,Source,Destination,Total_Stops,Additional_Info,Price,day_of_journey,month_of_journey,year_of_journey,Arrival_Hour,Arrival_Min,Dep_Hour,Dep_Min,Duration_Total_Mins
38,Jet Airways,Banglore,New Delhi,1,No info,19225,6,3,2019,13,15,7,0,375
39,Jet Airways,Delhi,Cochin,1,No info,14924,3,6,2019,19,0,7,5,715
40,Multiple carriers,Delhi,Cochin,1,No info,9646,21,5,2019,18,10,7,5,665
41,Air India,Banglore,New Delhi,1,No info,8714,15,3,2019,15,15,6,45,510
42,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,19,0,20,55,1325
43,Air Asia,Banglore,Delhi,0,No info,3383,6,5,2019,13,55,11,10,165
44,Multiple carriers,Delhi,Cochin,1,No info,13062,21,3,2019,21,0,9,0,720
45,SpiceJet,Banglore,New Delhi,0,No check-in baggage included,3527,24,3,2019,8,35,5,45,170
46,IndiGo,Banglore,Delhi,0,No info,3943,27,5,2019,6,50,4,0,170
47,Air India,Chennai,Kolkata,0,No info,4667,3,5,2019,13,55,11,40,135
48,Air India,Kolkata,Banglore,1,No info,6117,15,5,2019,11,5,19,0,965
49,Jet Airways,Delhi,Cochin,2,In-flight meal not included,11150,27,6,2019,19,0,23,5,1195
50,Jet Airways,Delhi,Cochin,0,In-flight meal not included,7202,9,3,2019,14,15,11,0,195
51,Jet Airways,Kolkata,Banglore,1,No info,12121,1,5,2019,10,55,9,35,1520
52,IndiGo,Banglore,New Delhi,0,No info,4377,24,3,2019,1,10,22,20,170
53,IndiGo,Banglore,Delhi,0,No info,3943,18,6,2019,0,15,21,15,180
54,Air Asia,Banglore,Delhi,0,No info,4483,3,4,2019,2,45,23,55,170
55,Jet Airways,Kolkata,Banglore,1,No info,14231,24,3,2019,12,0,19,45,975
56,Air India,Banglore,New Delhi,2,No info,17345,1,3,2019,23,55,8,50,905
57,Vistara,Chennai,Kolkata,0,No info,7414,6,3,2019,9,20,7,5,135
58,Multiple carriers,Delhi,Cochin,1,No info,8073,6,5,2019,1,30,19,0,390
59,Vistara,Mumbai,Hyderabad,1,No info,12395,6,3,2019,16,45,15,40,1505
60,Air India,Kolkata,Banglore,1,No info,8366,6,6,2019,21,50,9,25,745
61,Air India,Delhi,Cochin,1,No info,5117,3,4,2019,9,25,6,5,1640
62,Multiple carriers,Delhi,Cochin,1,No info,12524,3,6,2019,19,0,8,45,615
63,IndiGo,Delhi,Cochin,1,No info,7191,15,5,2019,1,30,15,0,630
64,Vistara,Chennai,Kolkata,0,No info,3687,24,5,2019,9,20,7,5,135
65,IndiGo,Delhi,Cochin,1,No info,5894,24,6,2019,21,0,10,35,625
66,Vistara,Banglore,Delhi,0,No info,5403,24,4,2019,12,35,9,45,170
67,Air India,Mumbai,Hyderabad,0,No info,3625,6,5,2019,15,25,13,55,90
68,Air India,Delhi,Cochin,2,No info,10861,21,5,2019,19,15,5,55,800
69,IndiGo,Chennai,Kolkata,0,No info,6297,12,3,2019,15,35,13,20,135
70,Jet Airways,Mumbai,Hyderabad,0,No info,5678,1,6,2019,8,30,7,5,85
71,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,9134,9,3,2019,8,15,5,45,1590
72,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,10791,24,6,2019,19,0,11,40,440
73,Jet Airways,Delhi,Cochin,2,No info,12819,24,6,2019,12,35,23,5,810
74,IndiGo,Delhi,Cochin,1,No info,6893,21,3,2019,10,5,5,5,300
75,Vistara,Banglore,New Delhi,0,No info,7240,9,3,2019,12,35,9,50,165
76,GoAir,Banglore,Delhi,0,No info,3898,3,4,2019,14,30,11,40,170
77,IndiGo,Mumbai,Hyderabad,0,No info,4049,3,4,2019,7,55,6,25,90
78,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,15,6,2019,12,35,17,30,1145
79,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3332,21,3,2019,10,35,8,20,135
80,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,9,6,2019,12,0,21,10,890
81,Jet Airways,Banglore,New Delhi,0,No info,7229,24,3,2019,22,35,19,55,160
82,Jet Airways,Kolkata,Banglore,1,No info,13941,6,5,2019,4,40,6,30,1330
83,IndiGo,Delhi,Cochin,1,No info,5894,27,6,2019,21,0,11,25,575
84,Multiple carriers,Delhi,Cochin,1,No info,10197,18,5,2019,19,0,9,0,600
85,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,13712,6,3,2019,11,25,14,5,1280
86,IndiGo,Delhi,Cochin,1,No info,5636,24,6,2019,7,25,2,0,325
87,Jet Airways,Delhi,Cochin,2,No info,13014,6,6,2019,4,25,9,40,1125
88,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064,1,4,2019,20,45,8,25,740
89,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10703,24,5,2019,14,25,20,25,1080
90,Multiple carriers,Delhi,Cochin,1,No info,9646,27,5,2019,22,30,13,15,555
91,Multiple carriers,Delhi,Cochin,1,No info,17057,6,3,2019,13,20,2,15,665
92,Jet Airways,Banglore,New Delhi,1,No info,13817,12,3,2019,10,25,16,55,1050
93,Air India,Delhi,Cochin,2,No info,13748,6,3,2019,19,15,5,55,800
94,Air India,Kolkata,Banglore,0,No info,4880,21,4,2019,23,20,20,45,155
95,IndiGo,Chennai,Kolkata,0,No info,3540,21,6,2019,7,40,5,15,145
96,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3257,15,5,2019,8,35,5,55,160
97,Jet Airways,Banglore,Delhi,0,In-flight meal not included,6478,3,6,2019,22,50,19,50,180
98,Jet Airways,Mumbai,Hyderabad,0,No info,8040,18,6,2019,8,30,7,5,85
99,Jet Airways,Delhi,Cochin,2,No info,14300,12,6,2019,12,35,20,0,995
100,Jet Airways,Kolkata,Banglore,1,No info,14781,15,5,2019,20,45,8,25,740
101,Jet Airways,Kolkata,Banglore,1,No info,14939,9,6,2019,8,15,20,0,735
102,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,24,6,2019,4,25,20,55,450
103,Air India,Kolkata,Banglore,1,No info,6528,12,5,2019,14,35,14,35,1440
104,Air India,Banglore,Delhi,0,No info,6121,1,5,2019,8,55,6,10,165
105,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,18,5,2019,4,25,19,30,535
106,Multiple carriers,Delhi,Cochin,1,No info,11421,27,3,2019,18,50,11,40,430
107,Multiple carriers,Delhi,Cochin,1,No info,7574,27,3,2019,19,15,4,45,870
108,Air India,Delhi,Cochin,2,No info,11596,9,5,2019,19,15,12,55,1820
109,Jet Airways,Delhi,Cochin,2,No info,15129,24,5,2019,19,0,23,5,1195
110,Jet Airways,Banglore,New Delhi,1,No info,13555,18,3,2019,5,5,14,5,900
111,IndiGo,Banglore,Delhi,0,No info,5780,12,4,2019,21,50,18,55,175
112,Vistara,Kolkata,Banglore,1,No info,9397,12,5,2019,9,5,20,20,765
113,Jet Airways,Delhi,Cochin,1,No info,17024,6,3,2019,4,25,18,15,610
114,GoAir,Delhi,Cochin,1,No info,5281,27,6,2019,12,55,7,0,355
115,Multiple carriers,Delhi,Cochin,1,No info,10348,18,5,2019,22,30,7,5,925
116,Air India,Delhi,Cochin,1,No info,12677,6,3,2019,9,25,17,20,965
117,Multiple carriers,Delhi,Cochin,1,No info,15147,3,3,2019,1,35,15,25,610
118,Vistara,Banglore,Delhi,0,No info,4668,12,6,2019,9,40,7,0,160
119,Jet Airways,Delhi,Cochin,1,No info,15554,9,5,2019,19,0,7,5,715
120,SpiceJet,Banglore,Delhi,0,No info,3971,9,4,2019,8,35,5,55,160
121,Air India,Mumbai,Hyderabad,0,No info,3100,3,5,2019,16,25,15,0,85
122,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,10,5,20,0,845
123,Air India,Delhi,Cochin,1,No info,27430,1,3,2019,19,15,23,0,1215
124,IndiGo,Chennai,Kolkata,0,No info,3540,12,5,2019,7,40,5,15,145
125,Air India,Kolkata,Banglore,2,No info,10676,21,5,2019,11,10,12,0,1390
126,Jet Airways,Kolkata,Banglore,1,No info,13044,12,6,2019,8,15,14,5,1090
127,Jet Airways,Kolkata,Banglore,1,No info,14388,6,5,2019,12,0,20,0,960
128,IndiGo,Banglore,Delhi,0,No info,3943,24,6,2019,6,50,4,0,170
129,IndiGo,Chennai,Kolkata,0,No info,3597,3,6,2019,17,5,14,45,140
130,Air India,Banglore,New Delhi,1,No info,5932,21,3,2019,19,50,11,50,480
131,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,15,6,2019,4,25,11,30,1015
132,Vistara,Delhi,Cochin,0,No info,6216,12,5,2019,17,50,14,40,190
133,IndiGo,Kolkata,Banglore,0,No info,4804,15,6,2019,23,10,20,25,165
134,Multiple carriers,Delhi,Cochin,1,No info,14067,21,5,2019,1,30,11,30,840
135,Jet Airways,Delhi,Cochin,2,No info,15129,18,5,2019,19,0,19,10,1430
136,Jet Airways,Delhi,Cochin,2,No info,13376,6,6,2019,4,25,6,45,1300
137,Air India,Delhi,Cochin,2,No info,10441,27,6,2019,19,15,22,0,1275
138,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,24,5,2019,8,45,6,0,165
139,Jet Airways,Delhi,Cochin,1,No info,17024,3,3,2019,18,50,8,0,650
140,Multiple carriers,Delhi,Cochin,1,No info,13017,9,4,2019,1,30,17,30,480
141,GoAir,Kolkata,Banglore,1,No info,6686,6,6,2019,7,45,23,30,495
142,IndiGo,Delhi,Cochin,1,No info,5636,15,6,2019,7,25,2,0,325
143,IndiGo,Delhi,Cochin,1,No info,6442,9,6,2019,16,10,7,35,515
144,Multiple carriers,Delhi,Cochin,1,No info,9486,21,5,2019,0,55,13,5,710
145,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,21,5,2019,23,35,20,0,1655
146,Jet Airways,Delhi,Cochin,2,In-flight meal not included,15318,3,6,2019,4,25,20,0,505
147,Air India,Delhi,Cochin,1,No info,5117,3,4,2019,9,25,12,30,1255
148,IndiGo,Delhi,Cochin,1,No info,6147,24,6,2019,20,0,15,10,290
149,Multiple carriers,Delhi,Cochin,1,No info,7005,9,6,2019,21,0,12,50,490
150,SpiceJet,Kolkata,Banglore,0,No info,3873,3,4,2019,0,40,22,20,140
151,Jet Airways,Delhi,Cochin,2,In-flight meal not included,9270,21,3,2019,18,50,18,25,1465
152,GoAir,Banglore,Delhi,0,No info,3898,27,6,2019,14,30,11,40,170
153,Jet Airways,Kolkata,Banglore,1,No info,14781,12,5,2019,20,45,8,25,740
154,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,24,5,2019,8,15,20,0,735
155,Air India,Kolkata,Banglore,2,No info,10697,9,5,2019,7,55,8,20,1415
156,Jet Airways,Delhi,Cochin,2,No info,14300,27,6,2019,12,35,20,0,995
157,IndiGo,Banglore,New Delhi,0,No info,8855,3,3,2019,21,45,18,55,170
158,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,12,5,2019,18,15,16,30,1545
159,Jet Airways,Delhi,Cochin,1,No info,17024,6,3,2019,4,25,2,15,1570
160,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,1,5,2019,14,25,9,35,1730
161,IndiGo,Banglore,New Delhi,0,No info,4777,24,3,2019,3,25,0,40,165
162,Air India,Kolkata,Banglore,1,No info,7662,9,6,2019,13,15,12,0,1515
163,IndiGo,Delhi,Cochin,1,No info,6442,9,5,2019,16,10,6,50,560
164,SpiceJet,Delhi,Cochin,1,No info,5264,12,6,2019,13,15,8,45,270
165,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,4,25,13,0,925
166,Air India,Mumbai,Hyderabad,0,No info,6092,3,3,2019,15,25,13,55,90
167,SpiceJet,Banglore,Delhi,0,No info,3311,21,5,2019,8,35,5,55,160
168,Jet Airways,Delhi,Cochin,1,In-flight meal not included,6540,27,3,2019,4,25,19,15,550
169,IndiGo,Banglore,Delhi,0,No info,3419,27,5,2019,4,15,1,30,165
170,Jet Airways,Delhi,Cochin,1,In-flight meal not included,5177,3,4,2019,12,35,14,0,1355
171,Air India,Delhi,Cochin,0,No info,8246,18,4,2019,21,10,18,5,185
172,Jet Airways,Kolkata,Banglore,1,No info,14676,9,6,2019,21,5,9,35,690
173,Multiple carriers,Delhi,Cochin,1,No info,13587,27,6,2019,21,0,11,30,570
174,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,9,20,21,10,730
175,Jet Airways,Kolkata,Banglore,1,No info,13044,12,6,2019,10,5,16,30,1055
176,IndiGo,Delhi,Cochin,1,No info,5073,3,4,2019,1,30,20,25,305
177,Vistara,Kolkata,Banglore,1,No info,9345,21,5,2019,18,50,17,0,1550
178,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,10,5,14,5,1200
179,Multiple carriers,Delhi,Cochin,1,No info,14277,21,5,2019,21,0,8,0,780
180,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1,6,2019,4,25,10,0,1105
181,Jet Airways,Mumbai,Hyderabad,0,No info,5678,27,3,2019,21,5,19,35,90
182,Multiple carriers,Delhi,Cochin,1,No info,13727,15,5,2019,1,30,16,0,570
183,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,12,0,20,0,960
184,IndiGo,Chennai,Kolkata,0,No info,3858,12,5,2019,17,5,14,45,140
185,SpiceJet,Delhi,Cochin,1,No info,4812,24,6,2019,13,15,8,45,270
186,IndiGo,Delhi,Cochin,1,No info,5775,27,6,2019,3,35,21,50,345
187,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10539,6,6,2019,9,45,9,35,1450
188,IndiGo,Kolkata,Banglore,0,No info,4804,3,6,2019,18,5,15,30,155
189,Air Asia,Banglore,Delhi,0,No info,3383,12,6,2019,13,55,11,10,165
190,IndiGo,Banglore,New Delhi,1,No info,8738,3,3,2019,17,5,12,10,295
191,Air India,Delhi,Cochin,1,No info,7165,27,3,2019,6,50,5,15,1535
192,IndiGo,Delhi,Cochin,1,No info,6412,24,6,2019,22,30,16,10,380
193,Jet Airways,Banglore,Delhi,0,No info,8016,27,6,2019,22,0,18,55,185
194,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087,12,3,2019,15,15,20,35,1120
195,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,27,6,2019,12,0,9,45,135
196,Jet Airways,Kolkata,Banglore,1,No info,12471,12,6,2019,4,40,16,30,730
197,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,24,6,2019,4,25,9,0,1165
198,Air India,Banglore,New Delhi,0,No info,4441,18,3,2019,16,10,13,20,170
199,Multiple carriers,Delhi,Cochin,1,No info,12537,27,3,2019,15,30,7,5,505
200,GoAir,Kolkata,Banglore,1,No info,10091,24,3,2019,7,40,22,25,555
201,Air India,Banglore,Delhi,0,No info,6961,3,6,2019,23,55,21,5,170
202,IndiGo,Delhi,Cochin,0,No info,5013,24,4,2019,8,50,5,35,195
203,Air India,Delhi,Cochin,0,No info,6934,18,5,2019,8,0,5,10,170
204,Multiple carriers,Delhi,Cochin,1,No info,10877,3,6,2019,19,0,6,40,740
205,Jet Airways,Banglore,Delhi,0,No info,7229,18,4,2019,18,10,15,15,175
206,IndiGo,Delhi,Cochin,1,No info,7048,27,3,2019,1,35,16,0,575
207,Vistara,Banglore,Delhi,0,No info,4878,27,6,2019,19,35,17,0,155
208,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,21,5,2019,23,35,14,5,570
209,Jet Airways,Delhi,Cochin,2,No info,15129,18,5,2019,4,25,23,5,1760
210,IndiGo,Banglore,Delhi,0,No info,3943,12,5,2019,3,25,0,30,175
211,SpiceJet,Delhi,Cochin,1,No info,5583,6,6,2019,11,20,6,5,315
212,Multiple carriers,Delhi,Cochin,1,No info,9646,6,6,2019,16,10,7,5,545
213,Multiple carriers,Delhi,Cochin,1,No info,7677,3,6,2019,19,15,8,30,645
214,IndiGo,Delhi,Cochin,1,No info,6842,1,6,2019,10,5,5,10,295
215,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,24,6,2019,10,15,8,45,90
216,Vistara,Kolkata,Banglore,1,No info,9555,9,6,2019,18,50,7,10,700
217,IndiGo,Banglore,Delhi,0,No info,4077,1,6,2019,4,15,1,30,165
218,Jet Airways,Banglore,Delhi,0,No info,7229,12,5,2019,18,10,15,15,175
219,Multiple carriers,Delhi,Cochin,1,No info,12192,9,6,2019,19,0,9,0,600
220,Air India,Banglore,Delhi,0,No info,5911,12,4,2019,12,45,10,0,165
221,Air India,Delhi,Cochin,1,No info,8372,12,6,2019,19,15,9,0,615
222,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,18,3,2019,8,35,7,10,85
223,Multiple carriers,Delhi,Cochin,1,No info,14323,9,5,2019,19,15,10,0,555
224,Jet Airways,Delhi,Cochin,2,No info,13014,9,6,2019,4,25,5,30,1375
225,Air India,Delhi,Cochin,2,No info,13591,6,6,2019,19,15,14,25,1730
226,Jet Airways,Delhi,Cochin,2,No info,18799,3,3,2019,18,50,5,25,2245
227,IndiGo,Banglore,Delhi,0,No info,3943,27,4,2019,2,20,23,30,170
228,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,1965,21,5,2019,7,15,5,45,90
229,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,27,5,2019,11,50,10,20,90
230,Air India,Kolkata,Banglore,1,No info,14641,24,3,2019,18,30,16,50,1540
231,Air India,Kolkata,Banglore,0,No info,4460,12,4,2019,23,20,20,45,155
232,Air India,Delhi,Cochin,1,No info,10191,18,5,2019,19,15,13,0,375
233,Jet Airways,Delhi,Cochin,1,In-flight meal not included,13843,9,3,2019,19,45,2,15,1050
234,IndiGo,Delhi,Cochin,1,No info,6349,1,5,2019,3,35,21,50,345
235,Air Asia,Kolkata,Banglore,0,No info,4409,1,5,2019,12,55,10,20,155
236,Jet Airways,Delhi,Cochin,1,No info,17024,6,3,2019,19,45,18,15,1530
237,Multiple carriers,Delhi,Cochin,1,No info,13727,18,5,2019,21,0,7,5,835
238,IndiGo,Banglore,New Delhi,0,No info,8855,15,3,2019,21,20,18,25,175
239,Multiple carriers,Delhi,Cochin,1,No info,12524,24,6,2019,19,0,8,45,615
240,Jet Airways,Banglore,New Delhi,1,No info,13555,18,3,2019,20,20,11,40,520
241,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,6,2019,12,0,6,30,330
242,Multiple carriers,Delhi,Cochin,1,No info,13587,9,6,2019,21,0,9,0,720
243,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,12,6,2019,12,0,9,45,135
244,Vistara,Chennai,Kolkata,0,No info,4842,18,3,2019,9,20,7,5,135
245,IndiGo,Banglore,Delhi,0,No info,3943,24,4,2019,2,20,23,30,170
246,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10577,9,6,2019,4,25,19,15,550
247,IndiGo,Delhi,Cochin,1,No info,6979,15,5,2019,21,0,10,35,625
248,Vistara,Chennai,Kolkata,0,No info,11982,27,6,2019,20,5,17,45,140
249,SpiceJet,Delhi,Cochin,1,No info,5264,6,6,2019,13,15,8,45,270
250,Vistara,Delhi,Cochin,0,No info,8001,3,3,2019,9,10,6,0,190
251,Air India,Delhi,Cochin,2,No info,10651,1,6,2019,19,15,19,45,1410
252,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,24,5,2019,19,50,16,30,1640
253,Multiple carriers,Delhi,Cochin,1,No info,6601,27,3,2019,22,20,9,45,755
254,Air India,Delhi,Cochin,1,No info,6587,21,3,2019,19,15,19,0,1455
255,SpiceJet,Mumbai,Hyderabad,0,No info,3173,21,3,2019,14,30,13,10,80
256,Air India,Banglore,Delhi,0,No info,5228,9,5,2019,12,45,10,0,165
257,Jet Airways,Banglore,Delhi,0,In-flight meal not included,5769,21,6,2019,10,10,7,10,180
258,Jet Airways,Delhi,Cochin,1,No info,14714,6,6,2019,19,0,8,0,660
259,Jet Airways,Delhi,Cochin,2,No info,13014,3,6,2019,19,0,5,30,810
260,IndiGo,Banglore,Delhi,0,No info,3359,3,6,2019,1,0,22,10,170
261,GoAir,Banglore,New Delhi,0,No info,6722,3,3,2019,23,50,20,55,175
262,IndiGo,Kolkata,Banglore,0,No info,4462,18,3,2019,12,20,9,35,165
263,IndiGo,Delhi,Cochin,1,No info,6171,9,3,2019,16,10,4,55,675
264,Air India,Kolkata,Banglore,2,No info,12303,21,5,2019,20,25,5,50,875
265,Multiple carriers,Delhi,Cochin,1,No info,7695,21,3,2019,1,35,11,40,835
266,IndiGo,Delhi,Cochin,1,No info,5684,24,6,2019,1,30,11,25,845
267,Air India,Kolkata,Banglore,1,No info,8366,12,6,2019,7,55,16,50,905
268,Air India,Chennai,Kolkata,0,No info,19630,1,3,2019,13,55,11,40,135
269,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,13502,6,3,2019,5,5,14,5,900
270,Jet Airways,Kolkata,Banglore,1,No info,14781,1,5,2019,10,5,21,10,775
271,Multiple carriers,Delhi,Cochin,1,No info,6513,12,6,2019,16,10,7,10,540
272,Air India,Delhi,Cochin,1,No info,9929,1,6,2019,19,15,7,0,735
273,Multiple carriers,Delhi,Cochin,2,No info,18275,6,6,2019,1,30,17,50,460
274,Air India,Delhi,Cochin,1,No info,4487,9,4,2019,9,25,6,5,1640
275,IndiGo,Mumbai,Hyderabad,0,No info,2754,15,3,2019,22,45,21,20,85
276,Air India,Mumbai,Hyderabad,0,No info,2575,27,3,2019,7,40,6,20,80
277,SpiceJet,Kolkata,Banglore,1,No info,8224,12,6,2019,21,25,15,55,330
278,Air India,Delhi,Cochin,1,No info,8991,9,3,2019,8,15,20,30,705
279,IndiGo,Delhi,Cochin,0,No info,5000,24,6,2019,8,50,5,35,195
280,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8529,12,6,2019,19,50,18,55,1495
281,Air India,Delhi,Cochin,1,No info,14042,3,3,2019,9,25,6,5,1640
282,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,24,5,2019,14,5,11,10,175
283,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,6,2019,12,0,18,55,1025
284,IndiGo,Kolkata,Banglore,0,No info,4804,6,5,2019,0,5,21,25,160
285,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,7308,27,5,2019,1,30,17,30,480
286,IndiGo,Banglore,Delhi,0,No info,4823,12,5,2019,19,55,16,55,180
287,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,24,6,2019,12,35,9,0,1655
288,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,4,25,20,55,450
289,Air India,Banglore,New Delhi,2,No info,12778,12,3,2019,16,20,17,25,1375
290,IndiGo,Delhi,Cochin,1,No info,14871,3,3,2019,13,20,4,45,515
291,Air India,Delhi,Cochin,2,No info,8708,21,3,2019,19,15,13,20,1795
292,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,6,2019,18,15,20,0,1335
293,SpiceJet,Mumbai,Hyderabad,0,No info,4129,6,3,2019,7,5,5,45,80
294,IndiGo,Kolkata,Banglore,0,No info,4804,18,5,2019,0,5,21,25,160
295,Jet Airways,Banglore,Delhi,0,No info,7229,6,5,2019,11,20,8,20,180
296,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7832,21,3,2019,19,10,7,0,730
297,SpiceJet,Chennai,Kolkata,0,No info,3859,18,3,2019,12,5,9,30,155
298,Multiple carriers,Delhi,Cochin,1,No info,9001,6,6,2019,19,15,7,30,705
299,Vistara,Banglore,Delhi,0,No info,4878,9,5,2019,19,35,17,0,155
300,IndiGo,Mumbai,Hyderabad,0,No info,2754,3,5,2019,4,5,2,35,90
301,Vistara,Banglore,Delhi,0,No info,4668,27,6,2019,9,40,7,0,160
302,Air Asia,Kolkata,Banglore,0,No info,5216,12,5,2019,12,55,10,20,155
303,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,6,6,2019,4,25,5,30,1375
304,IndiGo,Delhi,Cochin,2,No info,8146,9,3,2019,21,20,6,40,880
